subject,session,window_start_sec,window_end_sec,t_sec,ear,pitch,yaw,p_v,p_p,kss,y_binary
O,D,0.0,60.0,30.0,0.2627616955464831,7.943378500419407,55.74683660601238,0.25,0.45,6.0,1
O,D,240.0,300.0,270.0,0.2619019408725455,4.491506824323147,64.45468786941565,0.73,0.49666666666666665,7.0,1
O,D,270.0,330.0,300.0,0.23942961912197075,0.9951698356176097,27.9125108751573,0.36,0.36333333333333334,7.0,1
O,D,300.0,360.0,330.0,0.23951010049124213,2.4165971037410316,20.846427041644333,0.86,0.31333333333333335,7.0,1
O,D,330.0,390.0,360.0,0.273852764154281,9.61006162116444,56.895969681960125,0.42,0.35333333333333333,7.0,1
O,D,360.0,420.0,390.0,0.2773031824832372,11.775510404303494,62.520480909461895,0.29,0.2633333333333333,7.0,1
O,D,390.0,450.0,420.0,0.27212304670316645,12.188482738992088,62.24247720169377,0.31,0.2833333333333333,8.0,1
O,D,420.0,480.0,450.0,0.2640151570223141,12.480683339653257,61.89184937670214,0.37,0.58,8.0,1
O,D,450.0,510.0,480.0,0.27438614105051085,12.548935547857614,61.83636044599019,0.3,0.24666666666666667,7.0,1
O,D,480.0,540.0,510.0,0.28296302510404975,12.12224026085062,61.82525784291697,0.23,0.3933333333333333,7.0,1
O,D,510.0,570.0,540.0,0.28033252025152416,13.705415127612325,61.21207439365495,0.24,0.36,6.0,1
O,D,540.0,600.0,570.0,0.2852664820203124,13.82538257009762,61.02256112898212,0.13,0.3233333333333333,6.0,1
P,D,0.0,60.0,30.0,0.2860679816479353,-8.895917192232053,-59.4508810547802,0.17,0.2,7.0,1
P,D,30.0,90.0,60.0,0.3163787801245841,-12.133855569624753,-65.03627003868031,0.13,0.21,7.0,1
P,D,60.0,120.0,90.0,0.30543708867356645,-11.680435209400486,-60.3680885754629,0.32,0.30666666666666664,7.0,1
P,D,90.0,150.0,120.0,0.3018547335016765,-9.66892718164848,-57.74410745335383,0.21,0.3233333333333333,7.5,1
P,D,120.0,180.0,150.0,0.3003717887748374,-8.516710121091966,-59.275116214646566,0.2,0.2866666666666667,7.5,1
P,D,210.0,270.0,240.0,0.29288405431888537,-13.160679711344331,-61.815255635944396,0.24,0.41,8.0,1
P,D,240.0,300.0,270.0,0.2806127985875236,-9.259687931093199,-60.549296061943124,0.1,0.26,8.0,1
P,D,270.0,330.0,300.0,0.26421131742800413,-2.9465037915713164,-57.208455838962756,0.0,0.28,8.0,1
P,D,300.0,360.0,330.0,0.2765528918053453,-6.839041844517514,-52.42309785063024,0.23,0.38333333333333336,8.0,1
P,D,330.0,390.0,360.0,0.2980165672408673,-13.794955734392563,-54.44667803443147,0.47,0.37333333333333335,9.0,1
P,D,360.0,420.0,390.0,0.29959147850869894,-8.554867914805536,-49.99438347780503,0.46,0.34,9.0,1
P,D,390.0,450.0,420.0,0.2967097984448698,-2.4070304680640047,-32.56112718638755,0.43,0.33,9.0,1
P,D,420.0,480.0,450.0,0.3092463785174351,-0.592920355659094,-24.57289678741804,0.51,0.20333333333333334,9.0,1
P,D,450.0,510.0,480.0,0.3039996970902759,-1.6977107035257393,-31.290444721658048,0.55,0.27666666666666667,8.0,1
